model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,3,0.0391,0.1724,0.1334,-0.0326,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,3,0.1082,0.1647,0.0565,-0.001,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,3,0.0826,0.2216,0.139,-0.0047,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,3,0.2017,0.1125,-0.0893,-0.0096,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,4,0.0038,0.0723,0.0685,-0.0123,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,4,0.0667,0.0788,0.0121,-0.0255,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,4,0.0896,0.188,0.0984,-0.0231,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,4,0.118,0.1545,0.0366,-0.0108,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,4,0.1861,0.1748,-0.0113,-0.0006,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,5,0.0214,0.1143,0.0929,0.0317,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,5,0.0113,0.1441,0.1328,0.0043,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,5,0.0883,0.2203,0.132,-0.0311,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,5,0.1105,0.1823,0.0718,-0.0612,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,5,0.1495,0.0733,-0.0762,-0.0489,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,2,0,0.0682,0.0828,0.0146,0.0008,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,3,0,0.0053,0.1323,0.127,0.0008,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,5,0,0.097,0.174,0.0769,-0.015,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,8,0,0.126,0.1508,0.0248,-0.0176,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,16,0,0.2222,0.1016,-0.1205,-0.0678,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,2,1,0.0459,0.0404,-0.0054,-0.0041,42,18
